gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os12g12470.MSUR7,20,13,14,18,22,22,0,0,0,0,9,0,65,89,100,90,46,46,5,5,8,4,9,14,18,21,14,16,32,22,43,57,94,79,19,44
LOC_Os12g12560.MSUR7,22,20,19,19,17,28,13,16,22,24,10,5,26,16,25,9,16,19,6,18,12,4,9,20,22,20,12,12,3,13,4,7,5,7,0,6
LOC_Os12g12600.MSUR7,69,57,58,60,106,114,0,0,3,4,0,0,101,118,90,98,81,77,15,8,14,10,20,15,31,18,13,19,27,38,99,104,130,129,25,39
LOC_Os12g13340.MSUR7,7,8,5,0,10,13,7,0,0,0,0,0,11,10,16,22,20,10,80,84,83,91,67,53,25,33,30,17,28,25,26,26,42,36,45,37
LOC_Os12g13910.MSUR7,3,9,6,4,10,14,4,5,8,7,5,5,59,44,30,51,44,52,5,5,9,8,5,3,5,9,4,5,5,4,25,46,21,20,23,18
LOC_Os12g17950.MSUR7,0,4,0,0,0,3,4,7,3,3,0,0,15,11,7,12,16,19,25,36,32,29,21,42,46,54,42,35,49,46,92,107,108,77,76,93
LOC_Os12g18530.MSUR7,35,24,17,16,14,31,18,23,28,33,16,8,12,9,14,10,5,12,7,7,9,4,15,15,13,17,9,21,17,12,6,9,14,0,11,10
LOC_Os12g25690.MSUR7,72,68,58,70,114,88,40,22,27,39,29,24,306,316,337,317,279,253,82,61,71,106,125,123,112,98,85,80,73,70,399,378,491,537,162,168
LOC_Os12g26510.MSUR7,7,13,9,3,12,4,3,9,7,5,3,2,11,18,14,21,9,8,0,4,3,2,7,5,14,11,11,9,10,13,32,26,42,40,15,14
LOC_Os12g32620.MSUR7,35,32,41,36,53,72,0,0,3,0,0,11,97,132,103,93,78,112,13,9,19,16,35,35,34,20,32,30,27,30,91,98,173,169,50,35
LOC_Os12g33956.MSUR7,15,13,7,7,13,8,6,5,5,3,7,7,4,3,4,9,8,3,13,7,4,2,8,3,2,3,2,4,4,5,2,0,3,0,4,5
LOC_Os12g33958.MSUR7,21,17,24,23,29,23,20,9,15,17,13,15,16,18,8,13,24,28,17,0,20,20,16,16,22,20,15,16,24,18,0,7,0,12,10,8
LOC_Os12g34094.MSUR7,87,90,58,94,96,98,68,62,51,48,85,76,21,0,30,31,37,31,82,75,79,84,90,0,92,76,71,66,83,65,0,18,27,0,32,35
LOC_Os12g34510.MSUR7,21,18,14,33,39,36,12,9,5,4,5,9,95,119,95,114,67,60,19,24,15,13,26,13,24,26,34,20,33,33,62,85,107,84,38,38
LOC_Os12g35670.MSUR7,20,15,18,22,31,22,2,0,0,3,0,4,56,48,58,57,23,26,4,4,10,9,19,20,10,23,8,10,25,15,57,69,61,82,29,22
LOC_Os12g36210.MSUR7,103,97,107,138,165,171,9,8,9,17,13,5,192,213,136,144,202,195,159,169,261,248,365,336,143,142,132,168,160,181,239,257,417,455,101,126
LOC_Os12g36220.MSUR7,346,338,382,411,475,516,25,35,31,24,33,43,513,558,426,397,488,502,36,15,70,59,90,83,52,61,72,50,81,89,255,217,369,332,95,75
LOC_Os12g36830.MSUR7,1297,1338,1311,1350,1306,1382,1175,1222,1242,1390,1176,1151,857,851,505,460,965,921,1989,1886,2089,2050,2024,2153,974,970,802,854,1041,959,385,382,502,509,210,223
LOC_Os12g36850.MSUR7,740,732,886,932,954,938,572,582,694,612,559,611,488,418,354,361,480,485,1242,1198,1379,1407,1226,1311,624,632,532,510,562,517,195,216,228,245,131,141
LOC_Os12g36880.MSUR7,770,684,742,711,766,819,686,801,750,686,1075,1062,736,749,489,451,766,786,1843,1849,1773,1866,2116,1991,892,930,806,776,719,826,115,114,176,181,76,65
LOC_Os12g38140.MSUR7,335,353,305,312,534,514,19,16,25,32,62,23,1354,1360,1423,1417,1160,1181,164,190,206,216,264,288,274,232,270,249,273,264,930,947,1322,1417,349,347
LOC_Os12g38360.MSUR7,13,32,11,16,24,23,3,3,4,4,2,8,50,53,42,61,35,45,10,10,14,12,19,14,19,21,16,16,27,16,63,48,72,74,22,23
LOC_Os12g40900.MSUR7,88,84,85,93,102,120,20,9,13,16,19,26,214,189,273,262,187,172,30,33,62,45,78,79,62,86,77,71,83,77,200,217,268,290,101,97
LOC_Os12g42020.MSUR7,2,9,2,9,7,8,0,2,3,2,3,2,2,4,8,5,5,13,2,2,0,0,2,0,8,7,4,2,0,4,2,13,11,8,7,3
LOC_Os12g42430.MSUR7,16,14,19,20,15,28,7,0,4,7,0,0,31,35,42,40,26,25,10,12,16,12,22,14,0,24,25,20,9,9,37,43,42,69,22,21
LOC_Os12g43340.MSUR7,31,28,20,27,26,30,10,0,17,10,14,0,75,96,69,93,87,104,4,5,7,10,9,7,7,10,7,9,0,9,51,50,34,39,41,51
