gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os03g03600.MSUR7,55,44,41,48,82,82,2,8,13,7,8,9,127,139,186,163,81,90,23,22,41,31,43,38,48,45,33,38,48,42,141,117,183,161,62,49
LOC_Os03g03730.MSUR7,13,14,17,15,24,15,8,20,13,13,15,0,0,0,0,17,0,8,12,22,19,21,26,21,18,26,17,16,26,21,20,24,11,17,12,23
LOC_Os03g04060.MSUR7,13,12,24,19,7,10,29,25,10,20,33,36,13,13,21,30,4,8,13,16,19,15,16,22,37,30,52,40,25,54,0,10,0,8,0,4
LOC_Os03g04220.MSUR7,40,41,28,29,60,42,0,0,0,0,5,0,75,78,114,100,72,59,11,10,19,20,41,21,35,34,27,25,21,45,83,81,128,132,30,47
LOC_Os03g04240.MSUR7,25,31,27,19,60,47,3,9,4,3,10,4,131,123,108,100,84,89,0,9,10,15,32,30,25,29,14,11,25,13,81,77,109,135,40,51
LOC_Os03g04250.MSUR7,58,56,47,41,74,72,5,0,8,0,7,7,129,134,154,120,93,123,0,18,28,24,48,46,49,54,42,37,49,63,104,126,167,137,47,58
LOC_Os03g04310.MSUR7,28,23,34,34,37,37,4,8,0,0,6,5,43,59,75,76,46,59,14,13,17,15,23,23,21,39,32,21,30,29,93,93,131,118,43,45
LOC_Os03g04470.MSUR7,6,16,10,17,10,15,9,0,4,0,0,11,48,51,56,59,25,29,5,12,13,9,18,6,13,16,22,15,9,9,31,34,43,55,15,26
LOC_Os03g05500.MSUR7,21,21,21,27,47,29,7,0,0,0,9,7,109,113,86,81,89,105,20,22,38,51,74,52,41,73,52,43,66,43,123,133,177,209,43,39
LOC_Os03g06670.MSUR7,15,10,8,13,17,25,11,5,4,5,0,0,59,71,30,43,33,38,10,21,13,16,18,25,10,15,18,16,20,16,63,55,98,86,25,43
LOC_Os03g07480.MSUR7,276,284,244,249,297,270,233,229,339,319,87,92,123,109,134,115,77,81,53,47,58,41,47,42,105,78,78,56,72,75,20,15,14,14,28,21
LOC_Os03g08100.MSUR7,7,12,8,6,10,11,0,0,0,0,0,0,28,24,21,42,14,9,9,5,7,9,17,13,17,10,10,6,10,11,35,18,36,36,20,15
LOC_Os03g08310.MSUR7,10,8,3,7,5,13,0,2,3,3,0,3,63,47,43,61,36,21,8,7,9,14,13,12,0,0,0,2,0,4,17,19,10,7,24,16
LOC_Os03g08520.MSUR7,17,24,7,20,23,20,14,9,7,4,9,16,144,137,278,275,94,84,31,26,22,30,36,46,21,23,19,17,22,20,159,149,80,81,225,227
LOC_Os03g08790.MSUR7,16,16,22,24,28,33,2,2,3,7,2,2,53,45,87,66,37,42,12,14,19,8,24,17,38,38,31,39,36,52,53,44,74,81,20,36
LOC_Os03g09930.MSUR7,14,25,28,23,35,19,6,10,11,11,13,6,76,77,60,48,98,65,13,5,6,9,0,11,22,17,10,4,8,0,61,65,48,51,66,62
LOC_Os03g09940.MSUR7,37,26,45,35,47,48,8,0,6,0,0,4,40,46,45,49,29,21,33,39,37,25,45,52,34,36,22,32,34,31,65,53,84,81,30,46
LOC_Os03g10640.MSUR7,13,21,14,24,15,13,8,6,8,5,0,5,59,50,73,95,37,52,21,13,27,39,35,39,23,21,14,14,15,22,32,36,43,39,31,33
LOC_Os03g12250.MSUR7,164,177,175,159,184,234,30,29,19,19,32,27,369,357,412,422,341,345,55,54,79,81,111,98,98,81,70,64,103,95,361,368,604,595,197,158
LOC_Os03g12730.MSUR7,23,24,18,28,20,21,0,0,0,9,3,9,37,40,56,47,32,40,0,9,9,8,27,14,20,9,20,18,19,16,48,28,57,81,19,9
LOC_Os03g12900.MSUR7,12,6,16,15,11,20,0,15,9,19,0,5,29,26,26,29,18,21,3,0,12,263,506,27,11,11,6,10,20,0,32,31,41,50,14,23
LOC_Os03g13050.MSUR7,59,68,57,45,37,37,19,18,32,26,25,22,33,27,64,58,25,20,109,98,119,113,98,107,94,77,66,79,92,74,40,37,19,33,55,56
LOC_Os03g13140.MSUR7,25,32,20,22,17,28,24,34,45,26,38,29,20,21,50,52,14,12,32,34,39,36,52,69,32,36,28,22,35,23,15,16,11,10,10,8
LOC_Os03g15340.MSUR7,19,21,26,18,19,40,0,0,10,0,8,4,106,114,56,84,97,109,0,6,13,4,22,26,21,25,26,22,19,24,164,127,176,198,53,54
LOC_Os03g15790.MSUR7,9,11,3,7,9,11,0,3,2,0,2,0,13,10,26,13,8,7,0,2,0,4,5,2,6,10,5,13,5,6,22,11,16,13,5,2
LOC_Os03g16860.MSUR7,326,325,307,287,277,292,269,246,311,318,237,233,2060,2069,2979,2880,1678,1793,315,269,258,320,267,302,343,353,261,232,275,315,1252,1238,712,771,1330,1449
LOC_Os03g16950.MSUR7,246,222,241,253,224,222,314,266,342,322,271,299,70,87,96,101,59,71,247,313,226,278,214,226,417,426,273,302,378,342,58,48,51,46,44,63
LOC_Os03g16960.MSUR7,453,453,430,441,379,367,541,484,673,693,345,363,315,340,417,434,240,265,133,143,138,121,104,137,105,102,79,93,85,92,19,20,16,9,26,36
LOC_Os03g17350.MSUR7,20,20,20,10,23,21,4,5,2,6,5,12,41,43,37,33,32,31,0,7,9,8,13,14,28,29,19,24,33,20,70,72,97,107,31,13
LOC_Os03g17760.MSUR7,55,40,24,31,54,69,4,0,6,0,7,0,44,60,70,89,42,42,17,22,19,25,26,20,21,29,33,18,12,16,74,82,169,137,44,48
LOC_Os03g18070.MSUR7,70,36,53,43,28,53,20,32,33,27,36,33,376,337,642,633,217,267,63,68,72,71,106,97,66,50,69,55,56,53,369,346,179,205,458,466
LOC_Os03g18140.MSUR7,13,7,19,20,18,21,5,7,0,0,0,6,65,25,38,32,29,38,9,20,12,15,15,14,20,18,9,23,26,22,32,33,42,45,27,22
LOC_Os03g18710.MSUR7,17,13,17,8,23,24,0,0,9,0,0,0,17,22,25,19,22,5,5,4,12,10,10,6,12,17,6,14,13,6,22,29,32,34,19,21
LOC_Os03g18820.MSUR7,29,25,37,44,43,51,0,0,8,4,8,7,57,90,85,82,69,56,19,24,37,35,33,34,47,31,26,31,34,57,96,93,114,116,72,61
LOC_Os03g18890.MSUR7,58,39,50,37,56,53,11,6,15,9,7,8,94,102,109,123,73,79,16,26,17,17,20,36,21,22,33,25,25,30,73,74,110,118,49,38
LOC_Os03g19270.MSUR7,5,7,5,5,0,22,3,5,0,4,0,4,30,40,19,21,51,52,7,0,7,9,9,16,9,0,11,9,8,7,7,8,9,13,5,13
LOC_Os03g19420.MSUR7,21,27,32,43,53,52,2,2,2,5,5,8,10,5,12,7,5,2,676,687,639,634,572,586,202,239,139,151,160,162,289,276,271,241,263,302
LOC_Os03g19427.MSUR7,93,72,97,101,141,147,2,7,0,0,5,5,13,19,20,35,15,14,226,253,205,202,216,192,100,80,49,62,73,72,101,88,83,87,85,97
LOC_Os03g19990.MSUR7,18,24,15,10,26,29,0,0,0,0,5,0,15,11,31,16,0,17,15,13,17,10,23,18,39,42,22,27,35,26,37,35,46,57,13,12
LOC_Os03g20380.MSUR7,22,38,11,15,31,24,0,0,0,8,8,0,17,41,39,32,24,27,8,4,9,10,3,12,14,14,0,8,10,8,23,25,20,28,8,12
LOC_Os03g21250.MSUR7,10,18,16,8,14,13,0,0,6,0,3,5,23,30,23,29,26,16,6,6,8,0,10,9,9,6,4,8,6,18,21,22,23,13,19,0
LOC_Os03g21850.MSUR7,8,0,13,8,5,7,10,8,10,10,6,0,9,7,0,0,5,0,16,15,18,16,15,8,8,25,11,10,11,14,13,13,13,9,9,20
LOC_Os03g22020.MSUR7,0,18,8,13,22,19,0,0,0,0,3,0,29,30,44,31,29,45,10,9,21,19,16,25,30,27,11,30,31,29,73,53,116,105,38,37
LOC_Os03g22360.MSUR7,5,2,9,7,19,10,0,0,0,0,0,0,23,24,25,19,20,13,2,4,3,6,12,9,6,13,7,3,4,6,11,9,17,24,8,9
LOC_Os03g24560.MSUR7,9,9,4,3,3,5,5,4,7,0,4,4,40,45,21,20,43,40,5,4,2,4,5,4,5,5,2,3,8,8,7,16,19,15,14,13
LOC_Os03g25030.MSUR7,24,21,45,36,42,41,35,30,30,35,44,39,26,19,26,49,8,10,161,131,133,152,111,122,73,89,57,76,74,91,135,129,105,119,143,152
LOC_Os03g27190.MSUR7,77,71,67,59,63,66,51,60,54,72,31,29,75,78,44,53,52,60,29,23,20,10,8,18,50,36,29,23,28,37,7,11,3,7,13,17
LOC_Os03g28160.MSUR7,4,2,2,3,4,3,3,0,4,3,2,2,45,52,91,53,13,16,0,0,4,3,2,5,2,0,3,5,2,3,27,9,17,19,5,2
LOC_Os03g29184.MSUR7,2,4,2,2,0,3,2,4,2,2,2,2,0,2,0,0,2,0,54,40,44,53,53,46,39,43,42,49,53,55,43,58,48,65,47,35
LOC_Os03g38800.MSUR7,5,2,0,0,4,0,3,7,0,3,6,2,3,2,5,5,2,2,4,8,4,2,10,13,7,16,12,8,18,15,8,3,5,4,3,5
LOC_Os03g40770.MSUR7,25,24,26,39,24,23,33,23,29,26,18,16,8,14,12,10,9,5,7,10,11,12,7,14,14,9,0,9,19,10,14,17,10,14,10,17
LOC_Os03g43010.MSUR7,17,36,16,22,29,47,0,7,10,4,7,7,97,77,85,95,68,57,45,46,41,45,41,51,32,39,24,31,30,34,113,78,117,101,46,56
LOC_Os03g43410.MSUR7,56,39,54,46,41,44,7,8,0,12,9,9,112,103,108,129,98,101,29,23,35,34,38,33,55,42,36,27,52,52,82,82,121,122,45,63
LOC_Os03g43650.MSUR7,48,47,45,62,53,57,5,14,10,9,12,7,209,213,145,136,191,157,22,33,31,28,25,33,58,52,36,46,56,39,111,114,151,171,66,58
LOC_Os03g43880.MSUR7,7,5,5,13,20,15,0,3,3,0,3,0,24,30,30,28,31,37,5,5,2,7,7,6,4,0,0,4,3,7,17,10,4,5,4,4
LOC_Os03g44890.MSUR7,4,8,8,6,9,15,0,0,0,2,0,3,24,18,25,25,19,21,2,8,0,2,9,4,3,4,4,2,3,3,20,19,34,22,6,6
LOC_Os03g45920.MSUR7,81,86,75,66,113,96,13,22,14,11,25,20,182,140,304,264,120,117,52,50,61,75,98,97,98,91,78,89,105,93,234,246,464,437,112,113
LOC_Os03g45960.MSUR7,93,91,117,140,122,118,66,97,84,64,57,86,99,76,118,134,62,71,171,188,216,210,161,175,210,228,186,159,192,215,81,95,104,66,54,65
LOC_Os03g46070.MSUR7,63,58,91,85,101,102,31,23,32,30,36,25,69,70,118,81,55,61,93,68,72,69,86,58,118,120,91,96,95,101,43,31,30,21,15,9
LOC_Os03g46150.MSUR7,2,2,7,7,15,16,3,3,3,2,4,3,12,15,18,10,9,12,4,2,2,5,8,8,23,11,9,18,20,10,32,36,52,50,26,14
LOC_Os03g46640.MSUR7,30,25,26,31,52,52,0,0,0,7,5,18,97,105,83,68,99,78,10,8,20,16,27,21,26,33,20,25,24,37,86,70,114,73,45,55
LOC_Os03g46920.MSUR7,14,19,12,0,16,15,3,0,0,0,0,6,31,26,24,12,23,24,10,10,8,9,9,5,11,10,4,9,10,14,33,23,30,23,26,13
LOC_Os03g48810.MSUR7,0,5,17,14,15,14,0,0,5,0,4,0,21,23,23,20,21,13,7,8,10,5,12,13,8,20,18,11,34,24,36,29,56,56,11,0
LOC_Os03g49380.MSUR7,40,56,45,38,63,58,15,13,19,24,10,19,239,201,150,143,181,172,47,41,58,45,47,61,57,45,41,30,45,53,129,166,219,208,77,73
LOC_Os03g49610.MSUR7,20,24,27,16,41,49,0,0,0,0,9,8,55,60,73,74,47,41,13,8,19,16,20,17,19,20,25,10,18,22,52,61,44,61,22,19
LOC_Os03g50030.MSUR7,34,36,31,32,77,50,17,4,14,10,4,9,106,92,166,142,85,84,17,23,29,31,58,52,57,70,41,45,45,58,103,77,122,141,73,52
LOC_Os03g50100.MSUR7,15,14,9,10,10,0,4,0,0,7,0,0,28,25,22,24,14,16,10,11,4,0,8,10,9,13,18,20,15,15,30,25,41,42,30,18
LOC_Os03g51150.MSUR7,26,26,17,10,41,30,6,4,4,0,13,10,85,63,77,73,48,59,5,0,10,8,17,23,25,14,12,10,16,9,63,65,102,108,36,48
LOC_Os03g51530.MSUR7,2,4,2,5,3,3,4,4,0,4,0,0,10,7,12,8,13,10,56,75,41,38,46,31,16,14,12,4,17,12,15,26,13,13,24,21
LOC_Os03g51970.MSUR7,46,32,27,37,34,36,5,3,3,4,0,5,52,54,44,42,44,55,17,15,27,14,17,17,11,32,14,7,23,25,41,47,77,64,19,15
LOC_Os03g51980.MSUR7,5,13,8,5,8,11,0,1,2,3,0,0,20,17,5,11,12,17,2,0,4,7,6,8,15,4,7,4,11,9,33,54,51,34,15,17
LOC_Os03g52380.MSUR7,38,28,30,37,49,43,31,40,29,27,14,23,31,28,32,32,35,28,36,43,33,36,39,51,21,19,17,19,22,22,14,16,23,9,14,0
LOC_Os03g52390.MSUR7,472,463,525,572,480,531,320,325,341,333,213,179,181,188,224,231,179,204,454,406,452,481,474,491,437,418,361,350,387,343,134,130,173,144,98,97
LOC_Os03g52410.MSUR7,17,26,13,25,30,36,9,9,7,11,3,9,20,10,36,25,19,15,34,37,38,54,48,55,12,8,18,5,9,18,15,16,19,17,10,9
LOC_Os03g52630.MSUR7,227,193,218,179,258,282,54,57,75,62,47,39,791,743,737,680,716,675,78,84,115,100,163,182,185,160,132,109,178,166,603,614,877,861,296,332
LOC_Os03g52860.MSUR7,525,510,477,485,805,901,77,86,88,77,106,99,1266,1281,1057,1154,1165,1216,260,281,320,327,523,534,289,341,284,253,413,351,584,674,801,779,286,346
LOC_Os03g55120.MSUR7,11,8,8,7,21,12,0,3,3,9,0,4,50,46,33,50,27,26,5,0,7,0,0,0,12,9,13,4,8,8,26,33,32,45,12,7
LOC_Os03g55220.MSUR7,12,12,8,4,14,10,3,0,4,4,0,4,30,29,14,25,19,34,9,8,7,0,10,13,11,23,0,7,18,12,21,32,36,29,8,7
LOC_Os03g55350.MSUR7,27,36,20,35,73,65,3,5,10,3,4,7,102,121,97,77,102,98,32,27,22,17,22,42,40,26,31,31,26,14,74,68,106,100,29,21
LOC_Os03g55840.MSUR7,18,8,7,5,13,20,3,3,2,2,2,3,30,23,36,26,20,20,5,8,10,11,12,10,9,17,9,13,8,11,42,34,47,48,19,23
LOC_Os03g56060.MSUR7,14,5,15,9,28,14,0,6,0,3,0,3,45,40,37,49,42,44,8,11,19,18,28,15,15,11,8,5,7,18,27,38,34,44,13,9
LOC_Os03g56380.MSUR7,38,37,49,57,37,53,0,18,12,18,14,0,132,136,99,99,96,112,30,28,26,26,37,31,31,33,35,28,37,27,115,118,138,120,81,64
LOC_Os03g56430.MSUR7,26,36,13,32,26,21,12,7,0,0,9,0,46,66,62,41,38,40,9,14,16,15,25,31,25,47,18,22,16,25,48,33,68,50,42,52
LOC_Os03g56820.MSUR7,16,19,16,29,31,24,0,4,3,5,0,3,34,43,64,37,32,30,12,7,13,17,17,15,7,16,13,8,14,33,44,29,38,57,20,21
LOC_Os03g56944.MSUR7,4,3,5,8,5,5,0,1,1,2,0,1,19,10,5,8,8,14,7,1,3,2,5,3,11,14,5,7,10,7,37,33,52,43,12,13
LOC_Os03g57330.MSUR7,8,13,8,8,20,13,3,5,6,0,0,0,20,12,21,27,20,33,0,0,7,7,9,5,5,4,9,3,4,8,14,10,9,5,7,7
LOC_Os03g57460.MSUR7,71,78,78,57,87,73,13,10,0,9,12,16,210,225,233,195,170,172,43,33,43,22,63,42,55,70,24,34,43,56,160,177,215,248,68,58
LOC_Os03g58110.MSUR7,28,0,63,56,80,76,12,11,0,12,0,0,78,78,95,96,89,107,65,59,97,95,128,96,92,74,52,61,90,98,218,179,313,340,98,71
LOC_Os03g59240.MSUR7,13,34,11,23,26,40,0,0,7,9,0,4,43,45,33,31,25,22,15,5,14,0,11,10,19,9,10,15,15,17,24,26,38,37,9,14
LOC_Os03g59440.MSUR7,48,38,44,41,62,58,5,3,9,0,3,0,81,82,154,145,43,67,58,41,78,65,56,62,71,81,43,46,48,52,178,151,158,156,121,108
LOC_Os03g60220.MSUR7,16,7,8,0,12,11,0,7,0,7,0,0,34,38,32,28,15,28,13,19,16,16,8,11,9,6,8,4,11,15,21,32,20,20,14,13
LOC_Os03g60340.MSUR7,47,40,47,44,78,100,3,4,0,9,0,4,239,180,187,181,188,220,14,20,24,19,28,41,23,52,27,30,39,41,101,103,194,194,54,70
LOC_Os03g61040.MSUR7,7,6,8,5,9,5,4,0,3,0,0,0,9,22,16,18,18,4,4,10,10,9,13,12,20,12,9,10,7,9,22,14,27,20,13,5
LOC_Os03g61620.MSUR7,8,13,15,16,18,20,3,0,0,0,0,3,22,19,27,25,19,19,8,13,10,15,19,16,15,17,9,8,13,13,27,34,29,29,14,14
LOC_Os03g62060.MSUR7,168,161,210,202,286,277,7,3,0,0,13,0,193,187,322,287,135,128,29,20,60,90,98,131,33,53,18,35,62,58,132,152,273,291,27,50
LOC_Os03g62090.MSUR7,37,54,32,31,60,70,8,7,10,13,15,5,164,153,161,163,129,160,22,17,24,21,26,34,37,32,36,27,42,34,120,113,203,202,51,77
LOC_Os03g62500.MSUR7,28,20,14,15,20,21,9,0,0,0,0,4,34,22,30,27,27,18,7,12,11,9,13,15,18,24,12,25,24,21,39,17,61,52,25,27
LOC_Os03g63270.MSUR7,14,13,8,18,20,27,9,13,0,3,0,4,57,45,51,43,56,45,15,15,4,10,15,16,11,15,8,19,0,15,41,34,53,53,26,19
LOC_Os03g63620.MSUR7,23,25,18,14,21,31,15,11,0,8,14,18,18,11,33,34,0,8,22,23,31,12,21,24,20,28,26,12,22,23,10,11,4,8,12,6
LOC_Os03g64230.MSUR7,35,29,30,25,30,22,4,0,0,5,3,0,46,63,39,35,50,53,11,11,9,9,4,0,18,18,14,0,27,16,30,39,64,55,20,19
LOC_Os03g64320.MSUR7,21,23,16,10,22,19,0,0,0,0,8,0,49,39,63,75,42,19,14,6,15,16,25,13,16,18,17,11,31,26,44,60,67,91,20,24
LOC_Os04g01140.MSUR7,23,0,20,22,26,20,0,0,9,12,10,7,95,84,81,85,87,93,26,35,46,35,33,31,22,32,9,21,33,30,76,103,128,119,56,54
LOC_Os04g01470.MSUR7,123,123,112,117,97,105,151,170,169,192,115,149,180,177,61,62,209,209,60,58,85,70,101,97,23,35,29,30,23,30,0,15,10,9,7,0
LOC_Os04g01690.MSUR7,218,174,167,166,305,294,10,4,7,14,20,12,408,492,357,382,406,444,21,25,44,34,49,38,42,54,26,17,42,70,142,143,154,204,49,52
LOC_Os04g03796.MSUR7,28,12,19,14,19,13,12,10,11,12,13,8,14,27,17,21,27,15,221,262,212,205,173,211,291,265,222,261,248,224,90,88,86,75,91,95
LOC_Os04g04330.MSUR7,37,22,38,27,37,57,0,4,0,0,5,0,70,71,58,54,52,65,19,14,16,18,16,14,25,38,34,18,21,21,64,51,71,75,33,26
LOC_Os04g09900.MSUR7,225,208,187,203,202,211,259,285,280,291,236,212,270,306,145,152,289,298,230,241,278,255,309,285,169,146,115,126,157,154,74,68,74,71,55,38
LOC_Os04g09920.MSUR7,162,173,153,180,183,205,159,163,162,204,152,142,84,101,89,110,81,93,130,131,175,164,132,179,114,121,83,81,114,105,22,41,47,39,30,25
LOC_Os04g10010.MSUR7,25,39,33,31,14,36,48,40,44,23,52,51,67,56,34,32,83,61,33,39,45,40,37,37,32,40,36,34,42,39,19,23,17,16,0,13
LOC_Os04g10160.MSUR7,16,16,14,18,25,19,41,48,29,27,54,59,67,50,33,20,73,77,24,16,32,27,31,31,14,26,19,18,16,23,0,4,9,0,7,5
LOC_Os04g11050.MSUR7,153,180,134,192,125,144,103,91,109,120,43,46,396,425,184,207,422,438,19,28,0,11,19,29,21,14,0,14,17,21,184,205,108,115,214,215
LOC_Os04g14680.MSUR7,16,29,19,17,23,23,7,9,7,5,0,0,33,26,30,20,25,31,0,10,7,0,8,5,14,11,13,20,17,14,25,31,59,48,25,19
LOC_Os04g15840.MSUR7,52,78,48,51,70,68,5,5,8,0,10,0,86,70,101,104,54,43,23,12,30,25,35,43,31,30,32,24,22,29,69,70,116,115,26,21
LOC_Os04g16722.MSUR7,174,159,180,189,220,213,133,143,104,134,162,184,67,78,58,49,62,57,151,123,171,149,211,183,172,149,143,125,113,96,39,43,42,46,59,57
LOC_Os04g24328.MSUR7,85,99,112,104,148,178,3,0,0,0,4,8,166,168,156,118,150,151,25,22,48,28,57,38,48,42,23,19,64,46,87,72,121,121,29,26
LOC_Os04g24340.MSUR7,26,27,33,22,65,61,0,0,0,0,0,7,65,63,49,64,52,62,5,4,10,18,16,13,15,11,7,14,19,20,38,30,50,59,16,12
LOC_Os04g25060.MSUR7,18,18,15,18,16,19,25,20,36,27,15,16,13,14,11,14,9,12,119,116,116,116,115,121,186,199,142,121,150,139,72,71,42,37,53,71
LOC_Os04g25650.MSUR7,89,87,77,89,90,76,119,129,125,128,65,56,45,71,63,56,50,52,102,86,94,100,127,121,133,162,124,125,132,105,74,57,31,25,47,53
LOC_Os04g27060.MSUR7,117,112,103,123,86,119,130,123,156,128,89,67,80,81,117,89,67,47,193,162,161,198,177,177,104,132,98,110,119,123,69,93,77,59,59,57
LOC_Os04g28250.MSUR7,26,39,28,26,48,53,1,3,0,5,2,7,49,28,51,50,29,21,11,10,19,16,29,28,71,51,32,32,69,50,44,69,88,115,43,43
LOC_Os04g31410.MSUR7,7,8,5,4,14,12,3,3,0,0,0,0,20,14,25,11,21,24,7,4,5,14,9,7,9,17,7,10,9,19,27,21,63,76,20,17
LOC_Os04g31484.MSUR7,17,10,23,8,23,28,2,2,3,4,2,2,31,31,25,37,10,32,2,1,0,4,4,0,8,5,8,6,7,6,13,9,32,24,12,5
LOC_Os04g31520.MSUR7,27,38,26,23,45,48,3,4,12,3,2,3,105,122,98,97,102,97,26,19,33,29,48,62,44,52,41,45,47,51,125,121,192,162,55,84
LOC_Os04g33150.MSUR7,35,25,33,25,25,31,24,26,41,41,27,22,54,57,34,51,38,43,226,191,205,179,163,174,152,185,144,111,109,151,40,56,60,48,68,64
LOC_Os04g33240.MSUR7,28,28,30,26,32,25,21,21,28,28,29,19,50,62,65,60,35,35,34,25,49,56,47,50,16,31,22,21,28,32,13,14,7,16,10,21
LOC_Os04g33450.MSUR7,134,128,95,94,143,149,21,19,23,15,17,13,295,278,268,278,255,282,39,26,46,46,60,58,74,65,55,64,65,91,252,248,348,354,96,93
LOC_Os04g33570.MSUR7,65,68,48,64,73,84,12,19,22,19,3,0,135,117,118,129,145,121,19,14,16,17,0,13,0,9,0,4,0,10,5,5,12,16,9,10
LOC_Os04g33680.MSUR7,4,2,5,5,3,4,0,0,0,0,0,3,13,9,9,16,7,10,2,0,3,2,4,3,3,3,2,5,5,3,13,7,9,3,2,4
LOC_Os04g33740.MSUR7,12,9,0,16,10,11,0,4,0,3,4,0,26,21,27,25,19,26,10,12,17,18,12,20,9,19,4,0,11,7,34,18,31,48,16,3
LOC_Os04g33990.MSUR7,87,83,73,97,81,103,20,18,12,13,24,26,162,197,286,253,133,165,35,37,39,55,52,51,43,31,33,48,53,53,130,139,274,216,51,50
LOC_Os04g35210.MSUR7,13,11,12,12,22,9,0,9,0,0,3,5,21,31,37,39,21,36,12,4,7,7,6,10,17,14,8,0,11,8,16,15,50,30,10,15
LOC_Os04g37500.MSUR7,22,10,15,17,14,24,0,5,0,0,0,4,41,51,23,36,24,17,0,10,10,0,9,13,21,16,12,17,21,15,58,68,119,85,20,34
LOC_Os04g37680.MSUR7,3,3,2,3,4,5,0,0,0,0,0,0,10,8,12,7,8,8,3,4,4,2,9,7,7,8,7,5,7,13,26,23,44,34,9,3
LOC_Os04g38310.MSUR7,30,31,29,26,50,48,4,0,7,5,0,4,79,40,63,56,59,61,15,15,9,10,5,7,26,29,13,27,16,29,39,23,29,36,13,24
LOC_Os04g38540.MSUR7,20,21,14,17,21,14,32,24,21,21,13,11,11,9,9,8,4,9,37,33,56,66,50,59,43,49,40,33,47,53,14,6,13,5,15,17
LOC_Os04g39350.MSUR7,16,18,19,15,26,19,3,4,8,8,8,0,5,10,19,12,12,5,33,42,29,26,31,47,33,31,14,30,27,26,4,3,9,3,5,0
LOC_Os04g39360.MSUR7,1,3,3,3,5,3,0,2,0,0,2,0,23,21,7,11,24,24,1,3,2,4,5,12,3,3,3,4,7,6,6,4,21,11,5,2
LOC_Os04g39600.MSUR7,4,5,3,10,4,5,2,0,3,0,0,0,31,14,15,8,23,18,4,3,7,10,9,8,16,10,4,6,4,9,24,27,36,44,16,2
LOC_Os04g40630.MSUR7,226,245,249,254,311,307,52,64,60,58,41,41,547,509,758,732,418,372,144,167,162,216,243,267,171,184,167,130,160,193,330,359,295,356,281,257
LOC_Os04g41960.MSUR7,22,23,14,19,14,13,0,7,4,7,0,7,152,143,198,206,86,95,25,19,27,21,31,38,8,14,12,9,12,10,83,86,44,42,80,98
LOC_Os04g41970.MSUR7,26,42,49,48,52,74,7,16,7,0,4,9,152,157,122,123,124,149,38,18,29,31,44,39,48,44,29,30,52,40,156,135,210,209,66,72
LOC_Os04g42620.MSUR7,36,35,35,36,63,52,2,8,3,4,9,7,94,93,100,94,78,73,23,25,37,37,69,53,40,60,40,50,51,60,120,125,177,200,63,52
LOC_Os04g43650.MSUR7,189,185,214,200,215,206,64,63,53,55,82,65,66,61,146,144,37,0,126,139,131,142,134,152,170,175,116,111,131,140,29,35,0,0,31,0
LOC_Os04g43670.MSUR7,27,31,24,9,28,21,0,5,0,0,0,8,23,40,50,35,9,21,0,4,5,12,18,13,18,18,10,13,11,15,37,29,70,38,21,18
LOC_Os04g43800.MSUR7,0,9,3,8,10,5,8,10,5,5,14,8,11,15,30,20,7,13,4,15,10,5,15,14,18,19,18,15,26,15,10,13,9,0,0,5
LOC_Os04g43760.MSUR7,301,290,209,240,319,286,45,57,58,53,61,37,798,775,725,671,806,781,114,121,127,135,192,176,298,300,208,218,294,293,627,577,833,849,325,322
LOC_Os04g44470.MSUR7,3,9,9,10,22,20,5,0,2,2,3,7,31,24,36,36,36,33,4,3,5,3,12,13,10,5,5,5,8,9,8,10,14,16,4,4
LOC_Os04g44870.MSUR7,133,139,133,131,179,186,23,23,21,21,11,17,398,390,282,248,416,425,107,83,124,153,157,150,75,123,83,89,106,116,221,245,302,325,152,120
LOC_Os04g45490.MSUR7,14,9,9,9,10,0,13,17,0,9,12,8,26,31,43,44,24,28,5,3,9,9,4,5,0,7,9,0,7,8,29,34,26,24,43,44
LOC_Os04g46810.MSUR7,24,14,25,9,25,14,0,2,0,0,0,0,31,30,41,48,21,20,7,3,4,0,7,7,6,4,5,8,5,10,55,41,96,86,10,21
LOC_Os04g46940.MSUR7,98,161,110,128,120,142,145,130,147,172,150,151,116,84,91,101,81,84,64,76,71,81,79,72,58,70,40,60,51,63,67,49,73,76,52,77
LOC_Os04g46990.MSUR7,8,4,3,3,4,2,0,0,2,0,0,0,12,25,15,20,22,19,0,2,5,3,4,3,5,4,4,3,11,3,15,18,17,34,8,11
LOC_Os04g47250.MSUR7,0,5,4,3,4,7,3,0,0,0,0,2,3,9,4,8,5,5,2,3,0,2,2,5,5,7,3,9,10,9,15,25,25,19,9,7
